"report_group","corpus_family","language_guess","encoding","event","metric","z","p_emp","input"
"corpus_batch_curated","parallel_udhr","zh","word_boundary","word_boundary","run_entropy","-63.886738283344","0.038461538462",""
"corpus_batch_curated","parallel_udhr","zh","word_boundary","word_boundary","gap_entropy","-53.150848058207","0.038461538462",""
"corpus_batch_curated","parallel_udhr","zh","word_boundary","word_boundary","prime_gap_affinity","-43.29758233956","0.038461538462",""
"corpus_batch_curated","parallel_udhr","zh","grapheme_class","vowel","prime_gap_affinity","-43.034410081027","0.038461538462",""
"corpus_batch_curated","parallel_udhr","zh","grapheme","vowel","prime_gap_affinity","-41.112685195931","0.038461538462",""
"corpus_batch_curated","parallel_udhr","zh","grapheme","vowel","run_entropy","-37.051982655047","0.038461538462",""
"corpus_batch_curated","parallel_udhr","zh","grapheme","vowel","gap_entropy","-36.474965968796","0.038461538462",""
"corpus_batch_curated","parallel_udhr","zh","grapheme_class","vowel","gap_entropy","-30.515864859179","0.038461538462",""
"corpus_batch_curated","parallel_udhr","zh","grapheme_class","vowel","run_entropy","-30.199426102844","0.038461538462",""
"corpus_batch_curated","controls","mesu","word_boundary","word_boundary","prime_gap_affinity","-15.014949149469","0.038461538462",""
"corpus_batch_curated","parallel_udhr","ja","word_boundary","word_boundary","run_entropy","-14.654701841407","0.038461538462",""
"corpus_batch_curated","parallel_udhr","ja","word_boundary","word_boundary","gap_entropy","-14.397453284732","0.038461538462",""
"corpus_batch_curated","parallel_udhr","de","word_boundary","word_boundary","prime_gap_affinity","-13.023023029658","0.038461538462",""
"corpus_batch_curated","controls","mesu","word_boundary","word_boundary","gap_entropy","-11.335280403515","0.038461538462",""
"corpus_batch_curated","parallel_udhr","ja","word_boundary","word_boundary","gap_entropy","-11.139796579486","0.038461538462",""
"corpus_batch_curated","controls","mesu","grapheme","punctuation","run_entropy","-10.795802364602","0.038461538462",""
"corpus_batch_curated","parallel_udhr","de","word_boundary","word_boundary","prime_gap_affinity","-10.604124130714","0.038461538462",""
"corpus_batch_curated","parallel_udhr","ja","word_boundary","word_boundary","run_entropy","-10.040834023103","0.038461538462",""
"corpus_batch_curated","controls","mesu","grapheme","vowel","gap_entropy","-9.467970612505","0.038461538462",""
"corpus_batch_curated","parallel_udhr","xh","word_boundary","word_boundary","gap_entropy","-9.426793842851","0.038461538462",""
"corpus_batch_curated","parallel_udhr","xh","word_boundary","word_boundary","run_entropy","-9.315060238358","0.038461538462",""
"corpus_batch_curated","controls","mesu","grapheme","vowel","run_entropy","-9.251308485268","0.038461538462",""
"corpus_batch_curated","controls","mesu","grapheme_class","punctuation","run_entropy","-8.67516325742","0.038461538462",""
"corpus_batch_curated","parallel_udhr","en","word_boundary","word_boundary","prime_gap_affinity","-8.353977294763","0.038461538462",""
"corpus_batch_curated","controls","mesu","grapheme_class","vowel","run_entropy","-8.287472559731","0.038461538462",""
"corpus_batch_curated","controls","mesu","grapheme_class","vowel","gap_entropy","-8.257427685112","0.038461538462",""
"corpus_batch_curated","parallel_udhr","xh","grapheme_class","punctuation","prime_gap_affinity","7.758798797261","0.038461538462",""
"corpus_batch_curated","parallel_udhr","en","word_boundary","word_boundary","prime_gap_affinity","-7.593030844653","0.038461538462",""
"corpus_batch_curated","controls","mesu","word_boundary","word_boundary","run_entropy","-7.325992178486","0.038461538462",""
"corpus_batch_curated","parallel_udhr","es","word_boundary","word_boundary","gap_entropy","-7.168426419394","0.038461538462",""
"corpus_batch_curated","controls","mesu","grapheme_class","consonant","gap_entropy","-7.048686116136","0.038461538462",""
"corpus_batch_curated","parallel_udhr","he","word_boundary","word_boundary","run_entropy","-6.85824274532","0.038461538462",""
"corpus_batch_curated","controls","mesu","grapheme","consonant","gap_entropy","-6.777643285409","0.038461538462",""
"corpus_batch_curated","parallel_udhr","he","word_boundary","word_boundary","gap_entropy","-6.749487682724","0.038461538462",""
"corpus_batch_curated","parallel_udhr","es","word_boundary","word_boundary","gap_entropy","-6.587086780485","0.038461538462",""
"corpus_batch_curated","parallel_udhr","el","word_boundary","word_boundary","gap_entropy","-6.341193257944","0.038461538462",""
"corpus_batch_curated","parallel_udhr","tr","word_boundary","word_boundary","gap_entropy","-6.279357567786","0.038461538462",""
"corpus_batch_curated","parallel_udhr","xh","grapheme","punctuation","prime_gap_affinity","6.143075256022","0.038461538462",""
"corpus_batch_curated","parallel_udhr","de","word_boundary","word_boundary","gap_entropy","-5.946454949768","0.038461538462",""
